Time,Exports
2000-01-01,9221
2000-02-01,9626
2000-03-01,9818
2000-04-01,10038
2000-05-01,9963
2000-06-01,10084
2000-07-01,10037
2000-08-01,9963
2000-09-01,9876
2000-10-01,9868
2000-11-01,9890
2000-12-01,9933
2001-01-01,9896
2001-02-01,9993
2001-03-01,9863
2001-04-01,9658
2001-05-01,9513
2001-06-01,9416
2001-07-01,8967
2001-08-01,9082
2001-09-01,8470
2001-10-01,7184
2001-11-01,6701
2001-12-01,6712
2002-01-01,7762
2002-02-01,8025
2002-03-01,8458
2002-04-01,7941
2002-05-01,8140
2002-06-01,8248
2002-07-01,8060
2002-08-01,7973
2002-09-01,8137
2002-10-01,8123
2002-11-01,8263
2002-12-01,8287
2003-01-01,7835
2003-02-01,7713
2003-03-01,7535
2003-04-01,7330
2003-05-01,7069
2003-06-01,7336
2003-07-01,7798
2003-08-01,8181
2003-09-01,8363
2003-10-01,8382
2003-11-01,8534
2003-12-01,8739
2004-01-01,8760
2004-02-01,8802
2004-03-01,8719
2004-04-01,8929
2004-05-01,8945
2004-06-01,9040
2004-07-01,8977
2004-08-01,8885
2004-09-01,8897
2004-10-01,9025
2004-11-01,9018
2004-12-01,9213
2005-01-01,9470
2005-02-01,9713
2005-03-01,9989
2005-04-01,9641
2005-05-01,9836
2005-06-01,9686
2005-07-01,9640
2005-08-01,9712
2005-09-01,9738
2005-10-01,9833
2005-11-01,9732
2005-12-01,9693
2006-01-01,9961
2006-02-01,9876
2006-03-01,9797
2006-04-01,9987
2006-05-01,10135
2006-06-01,9980
2006-07-01,10050
2006-08-01,10088
2006-09-01,10079
2006-10-01,10135
2006-11-01,10361
2006-12-01,10578
2007-01-01,10495
2007-02-01,10653
2007-03-01,10789
2007-04-01,10930
2007-05-01,10819
2007-06-01,10916
2007-07-01,11058
2007-08-01,11249
2007-09-01,11500
2007-10-01,11841
2007-11-01,12222
2007-12-01,12328
2008-01-01,12414
2008-02-01,12508
2008-03-01,12638
2008-04-01,12208
2008-05-01,12751
2008-06-01,12921
2008-07-01,12857
2008-08-01,12776
2008-09-01,12535
2008-10-01,12161
2008-11-01,11812
2008-12-01,11515
2009-01-01,11141
2009-02-01,10833
2009-03-01,10730
2009-04-01,11182
2009-05-01,11217
2009-06-01,10972
2009-07-01,11278
2009-08-01,11612
2009-09-01,11619
2009-10-01,12094
2009-11-01,12229
2009-12-01,12210
2010-01-01,13027
2010-02-01,12817
2010-03-01,13109
2010-04-01,13211
2010-05-01,13110
2010-06-01,13275
2010-07-01,13443
