Time,Total,Overseas,Africa,Asia,Caribbean,C.America,E.Europe,W.Europe,M.East,Oceania,S.America
2000-01-02,2866229,1694560,18716,532666,73336,64922,30123,630045,53090,51436,240226
2000-02-03,2948121,1793649,14145,570342,76462,55336,24580,754559,38561,41590,218074
2000-03-06,3709993,2056928,23550,620140,92897,58432,33938,906265,54825,48428,218453
2000-04-07,4108278,2281387,23253,565803,118182,64474,31931,1121116,49749,62604,244275
2000-05-09,3712454,2178919,25682,650602,102213,66255,36114,948399,53828,71573,224253
2000-06-10,3599435,2226706,27996,668472,101109,71880,44846,929506,69911,72543,240443
2000-07-12,4947731,2642601,31685,719402,191135,80750,46398,1107753,94607,66440,304431
2000-08-13,4650387,2469292,32371,752671,175797,63788,35571,1018037,77330,59520,254207
2000-09-14,3874868,2363220,26994,704334,83013,65902,35810,1053325,58212,86071,249559
2000-10-16,3654971,2246000,23147,611820,99215,68171,37359,1040652,56936,63397,245303
2000-11-17,3206700,1931516,18949,575067,87484,79056,32258,837505,44759,48024,208414
2000-12-19,3401534,2089923,28899,583125,130454,82648,33031,827999,50297,59637,293833
2001-01-20,3035536,1796035,21763,616093,74439,65597,32456,621026,57572,55224,251865
2001-02-21,2866284,1753466,15079,555016,71822,58180,26545,717141,41165,38523,229995
2001-03-25,3587412,1990610,21895,625678,82339,63069,36485,843157,57607,46562,213818
2001-04-26,3870645,2090451,23060,555651,111061,71869,31993,957808,45004,50928,243077
2001-05-28,3510495,2018620,27551,608324,99847,68260,34524,848550,52746,59987,218831
2001-06-29,3482153,2094967,30425,641798,94583,79943,47870,816498,75067,63575,245208
2001-07-31,4747440,2461104,32642,691464,169085,84052,44912,1004622,97286,59352,277689
2001-08-01,4644981,2483466,37520,775516,182125,70335,36167,976641,86504,56810,261848
2001-09-03,2611278,1430917,21880,394676,64696,41745,26554,640631,44987,51442,144306
2001-10-06,2236263,1210784,18317,249815,72067,43505,23686,620915,30344,35645,116490
2001-11-08,2094287,1118797,15082,246511,81744,57471,20228,512878,26544,28090,130249
2001-12-11,2501021,1383651,21852,354958,98003,66777,23254,551593,29330,40171,197713
2002-01-13,2239531,1197397,16277,410472,58907,48939,24120,418801,37597,35827,146457
2002-02-15,2249150,1272122,12094,395838,56094,45462,21464,540448,29312,31219,140191
2002-03-20,3271248,1613865,16361,465928,80503,58513,26395,729218,39846,38923,158178
2002-04-22,2806759,1466048,18854,412409,70180,50358,28698,685708,29814,40331,129696
2002-05-25,2992573,1631214,23724,502357,81653,59173,31520,683678,40047,50277,158785
2002-06-27,2936642,1629764,22298,505922,83130,63881,40580,652151,47911,51310,162581
2002-07-30,3978392,1886541,25055,519550,138808,67210,38680,800501,60448,49106,187183
2002-08-01,3974697,1924890,30186,603264,150309,58537,31550,777178,56744,47861,169261
2002-09-03,3111014,1710522,21004,538520,68333,49711,30533,768926,41993,56150,135352
2002-10-06,2911015,1670836,17865,469384,78532,54361,27879,815806,35855,43227,127927
2002-11-08,2540212,1466220,15778,430693,83378,69458,25889,656275,31262,35480,118007
2002-12-11,2975827,1647288,21727,434982,102749,78447,27597,719089,31705,49380,181612
2003-01-13,2358595,1259378,16456,437550,54018,48846,25888,472825,36709,41211,125875
2003-02-15,2200136,1239906,11353,387205,48334,42183,19043,573812,25737,30037,102202
2003-03-20,2604973,1247049,14467,359449,51592,40768,23785,601442,25028,31940,98578
2003-04-22,2630783,1268054,14526,251346,68673,48656,23089,692229,29323,36508,103704
2003-05-25,2640099,1367854,21802,326143,73337,53996,29433,658103,35382,48246,121412
2003-06-27,2718900,1414428,22620,365918,77978,57142,39694,637977,40252,45162,127685
2003-07-30,3810436,1775897,25165,455902,136171,63960,36690,793978,56107,49591,158333
2003-08-01,3871421,1831482,29510,547978,141497,53503,30611,783814,51133,48417,145019
2003-09-04,2998622,1694798,23106,514322,69172,49466,31281,781476,42301,56756,126918
2003-10-08,2923824,1684173,18326,451748,81533,53349,29269,845088,38609,43195,123056
2003-11-11,2711109,1524376,16009,435159,86644,67939,27541,703638,35419,38985,113042
2003-12-15,2995051,1718818,22926,470541,109317,76033,28270,749701,31112,54551,176367
2004-01-18,2395088,1318071,15756,464820,54560,43851,26726,510742,36309,46487,118820
2004-02-21,2484230,1378393,11825,429605,56740,44526,21007,632685,26421,37338,118246
2004-03-26,3120469,1576072,15672,464680,60450,46109,26586,770456,37368,42352,112399
2004-04-29,3357859,1690321,18110,423260,86698,52466,28482,870102,33161,52155,125887
2004-05-01,3174353,1700588,23478,502530,78348,58677,31201,768204,37700,64176,136274
2004-06-01,3061132,1756533,23821,523906,90603,67089,44020,744248,48510,66502,147834
2004-07-01,4244231,2056954,25263,533289,155795,71638,43194,929406,59420,60394,178555
2004-08-01,4027714,1969876,28730,588196,152852,55343,32637,852646,55103,58185,146184
2004-09-01,3194284,1790264,22541,534949,71031,49600,33608,833420,45837,71906,127372
2004-10-01,3119740,1745540,17695,464218,78277,55345,32501,874590,38046,51860,133008
2004-11-01,2783234,1556348,15027,424556,92285,66918,28023,730870,34111,46050,118508
2004-12-01,3210440,1783297,22834,447825,117269,80018,32074,788490,50184,62348,182255
2005-01-01,3448414,1421543,15626,481751,58019,49093,29588,569946,38205,52459,126856
2005-02-01,3254989,1447900,12116,448076,52641,45937,23205,681902,26493,38542,118988
2005-03-01,4321264,1809585,16517,490680,88706,58872,30152,896898,35159,50451,142150
2005-04-01,4087436,1724361,18593,455291,73605,51285,35267,863689,43221,55494,127916
2005-05-01,4315555,1815562,24125,536986,76306,57476,37513,814325,42679,70532,155620
2005-06-01,3859800,1893062,27528,561689,99420,64549,51482,800797,53186,73260,161151
2005-07-01,5112513,2216786,26912,580955,163008,66318,47232,991430,64309,67445,209177
2005-08-01,4817910,2045389,30778,616368,145823,53170,38153,880745,57003,61168,162181
2005-09-01,4151624,1942971,23070,568440,81894,50416,40176,898265,49961,83700,147049
2005-10-01,4011125,1870696,17545,509964,73550,52948,35290,938054,45284,57806,140255
2005-11-01,3625489,1591261,14551,451146,91212,64030,29110,731466,33421,53014,123311
2005-12-01,4199836,1899412,24835,496741,130702,82113,35534,812417,38440,72969,205661
2006-01-01,3575819,1504459,16399,530460,62847,49580,33283,560979,43888,57345,149678
2006-02-01,3166644,1376271,11636,416634,61871,43826,23911,620289,29588,38997,129519
2006-03-01,4044877,1639161,15819,504936,70354,47857,32409,757225,37618,47543,125400
2006-04-01,4646756,1895999,20349,461683,104082,57659,38164,943260,44673,63519,162610
2006-05-01,4121207,1752524,23662,520719,86578,57309,38070,762651,43368,71126,149041
2006-06-01,3882117,1807400,24047,523491,96128,63259,51548,761906,52953,74270,159798
2006-07-01,5427525,2188146,26755,577905,171798,65539,49956,958627,62226,70325,205015
2006-08-01,5220246,2072655,30261,629295,152677,51810,40526,882426,59768,64757,161135
2006-09-01,4277922,1915993,22423,542012,85810,50311,39775,885209,49612,84791,156050
2006-10-01,4281810,1900634,18196,498123,88251,56401,37923,933990,48080,60789,158881
2006-11-01,4070579,1687972,16701,462110,103676,69680,33621,769328,38449,48991,145416
2006-12-01,4261888,1927076,26312,484380,113955,80590,40883,839572,42507,73773,225104
2007-01-01,3695961,1530596,17505,512721,68350,50285,36844,576841,46690,60990,160370
2007-02-01,3370213,1498808,13858,444540,70670,45633,29260,668203,33832,42449,150363
2007-03-01,4268976,1864009,18609,517711,83786,53604,36326,893104,48299,54663,157907
2007-04-01,4864985,1895069,21478,471329,100426,57352,41134,924155,41909,68696,168590
2007-05-01,4500309,1943625,24914,549304,103179,63315,42525,851647,50341,79441,178959
2007-06-01,4490918,2021723,26548,559441,108763,75577,56140,863969,60034,79717,191534
2007-07-01,5923646,2403643,30296,602613,179338,73371,51204,1082626,72927,72200,239068
2007-08-01,5814940,2402926,32608,666751,185159,60336,45662,1080905,70391,73907,187207
2007-09-01,4767792,2127059,23598,577100,86263,63362,43300,988881,54270,92967,197318
2007-10-01,4815878,2160422,20621,506780,105654,70067,43127,1097765,50383,70248,195777
2007-11-01,4672822,1864426,18678,468222,97919,81852,39164,876031,43461,56212,182887
2007-12-01,4948504,2179971,29063,500982,127395,91527,48139,989534,47281,82228,263822
2008-01-01,4086799,1667306,19026,530455,62412,56238,42085,642086,50340,64687,199977
2008-02-01,3897179,1663065,15275,462134,65559,52963,34293,780140,35809,47369,169523
2008-03-01,5182792,2054590,20680,520186,92958,58705,41618,1023743,43835,56065,196800
2008-04-01,4745139,2043120,23906,463903,80304,56737,48026,1068261,54377,68390,179216
2008-05-01,5009362,2212729,29913,585736,100540,65172,48669,1033222,56416,82852,210209
2008-06-01,4678511,2202405,31256,564584,94941,67538,60461,1031461,64483,83097,204584
2008-07-01,5986535,2636697,37166,580434,175670,73192,57425,1293082,85546,76322,257860
2008-08-01,6229145,2601265,39870,638930,155896,57572,55724,1281366,73562,79443,218902
2008-09-01,4689523,2224572,25747,531025,82185,58244,51084,1100314,63418,97956,214599
2008-10-01,4629872,2173125,23285,453815,82744,64215,49191,1160000,58066,66015,215794
2008-11-01,4288280,1757800,19917,403018,92110,77103,42474,827826,44384,52820,198148
2008-12-01,4584137,2104777,29194,444382,115830,87911,53552,956580,50738,76603,289987
2009-01-01,3720104,1539857,19111,481976,64035,51807,44002,567638,48300,55265,207723
2009-02-01,3542549,1477601,13746,391497,65484,49453,33768,669949,34009,39712,179983
2009-03-01,4269373,1670120,18143,456470,66070,47631,42180,775662,47441,47983,168540
2009-04-01,4780813,2053246,20823,427392,92823,64025,46188,1062204,49686,70435,219670
2009-05-01,4309233,1911411,27271,430629,88636,56280,50986,934849,49988,81172,191600
2009-06-01,4078448,1965630,26898,407354,98083,67758,62017,945151,62630,80376,215363
2009-07-01,5534326,2446500,35570,519462,166555,72351,56476,1147632,83739,85375,279340
2009-08-01,5915725,2438329,36648,610781,152623,55328,51627,1137506,74387,79928,239501
2009-09-01,4723515,2139208,24763,553921,89994,58779,47043,969984,64394,101614,228716
2009-10-01,4717039,2201623,22753,463598,99748,67267,45888,1101209,56530,82017,262613
2009-11-01,4489069,1738986,18652,421132,100531,75361,39021,748713,46895,65220,223461
2009-12-01,5022549,2173673,29387,504509,121486,91865,52402,918171,47943,82885,325025
2010-01-01,4128091,1667830,19614,541064,68443,55577,43517,574041,56004,65333,244237
2010-02-01,3736045,1620897,14835,488029,67655,48473,33657,669846,36333,49966,212103
2010-03-01,4841398,2033811,21201,549017,90666,61534,42320,911053,55341,65894,236785
2010-04-01,4937709,1914155,22961,487781,91215,49135,44655,861529,46701,84330,225848
2010-05-01,5092004,2232171,29555,612622,95781,59002,50617,969069,57243,97097,261185
2010-06-01,4713084,2300022,30660,617203,100231,67535,64894,980805,73961,111971,252762
2010-07-01,6278385,2819980,35435,688612,159044,75783,60469,1266508,95507,103837,334785
2010-08-01,6406534,2690559,38864,740457,142636,53461,55929,1213120,79725,103003,263364
2010-09-01,5055988,2431989,27492,661856,85804,58911,53146,1063113,74221,130445,277001
2010-10-01,5164365,2455718,25350,573813,87376,65229,53866,1184870,54794,100211,310209
2010-11-01,4570245,1927225,19861,507439,92602,75694,45550,791818,55435,76804,262022
2010-12-01,5086512,2268259,29817,551609,119287,90107,57802,892995,50284,106361,369997
2011-01-01,4319083,1893399,22888,646558,60834,53748,50010,613232,68475,86396,291258
2011-02-01,3905579,1708976,15804,532565,52818,44042,37852,695928,38914,63081,227972
2011-03-01,4782144,1957736,20603,540041,65869,48480,50081,844651,48765,77075,262171
2011-04-01,5587811,2412421,25702,485921,90781,61111,56334,1220684,63198,111055,297635
2011-05-01,5277963,2330641,31934,608626,79260,56001,57087,1020951,62821,122037,291924
2011-06-01,4946939,2519947,32951,638262,91729,70032,72707,1081592,96235,128597,307842
2011-07-01,6862072,3048952,39941,760723,148925,72627,69859,1355789,103291,119796,378001
2011-08-01,6798516,2970543,42992,843610,131353,52510,63352,1304264,100335,115193,316934
2011-09-01,5447584,2638705,30571,684918,81416,63021,60136,1149498,80492,143509,345144
2011-10-01,5392345,2606785,26601,603579,85978,67495,59923,1226659,74950,102419,359181
2011-11-01,4946829,2062087,21655,549051,91897,75377,51783,823594,55670,80505,312555
2011-12-01,5210551,2389439,33581,596578,115418,90806,59119,908699,59062,114811,411365
2012-01-01,4728134,2011301,22959,713198,57591,58142,53211,599688,83832,88460,334220
2012-02-01,4155850,1849173,17598,553287,58660,50142,40816,729309,43959,66822,288580
2012-03-01,5328829,2316220,23917,648310,73213,55549,54675,992686,63648,89315,314907
2012-04-01,5726778,2418896,31203,604739,86630,57980,63805,1072833,64656,105506,331544
2012-05-01,5341254,2515891,34564,711392,88412,62051,60528,1021413,76448,118732,342351
2012-06-01,5196669,2675686,37735,740078,96361,74917,77959,1043777,123417,134366,347076
2012-07-01,6806745,2848099,36731,770025,110367,59625,55216,1279844,71632,120477,344182
2012-08-01,7355431,3174510,50745,965712,139420,59660,67739,1262761,127750,123850,376873
2012-09-01,5817050,2816039,35649,775233,86891,67117,65001,1122248,95141,167399,401360
2012-10-01,5583375,2637693,27991,677823,82821,68493,62881,1123092,80643,109329,404620
2012-11-01,5267717,2209009,25032,611432,98554,83104,57250,798064,53873,86717,394983
2012-12-01,5659065,2598391,39513,697127,118184,98831,67728,884546,68351,125278,498833
2013-01-01,4967028,2233045,26688,759229,65289,64047,62014,635427,95046,103822,421483
2013-02-01,4478353,2067352,19136,665270,67087,53315,49156,730675,49796,79119,353798
2013-03-01,5980801,2679385,29368,733078,91840,66071,63536,1088340,79984,104019,423149
2013-04-01,5729720,2541707,31545,649402,79794,56788,74671,1084580,68488,122968,373471
2013-05-01,5800889,2835386,42178,801879,95507,68113,73913,1087154,86588,145254,434800
2013-06-01,5637609,2952528,44513,847101,99962,73785,93188,1088567,119700,160087,425625
2013-07-01,7166098,3392312,52477,952096,152952,74482,82714,1347787,99110,147680,483014
2013-08-01,7992152,3545665,65793,1085018,157591,67078,84362,1327076,168329,153698,436720
2013-09-01,6176016,3042320,43971,854735,89395,68450,77023,1163843,101929,187729,455245
2013-10-01,6053988,2979653,36841,739115,98020,75480,81042,1248670,97396,124847,478242
2013-11-01,5532024,2465358,31134,657028,106958,95623,73205,874730,66652,102499,457529
2013-12-01,6128229,2953966,47026,772327,130600,119087,88329,991275,77319,140650,587353
2014-01-01,5400065,2425462,30248,828521,65032,67702,78268,672521,108266,108946,465958
2014-02-01,4660320,2070108,23072,589919,64905,54528,59904,762836,54314,77034,383596
2014-03-01,5895684,2497766,32785,743231,76436,56456,78799,947803,80692,92388,389176
2014-04-01,6500365,3023109,40257,694990,105134,76755,83498,1320891,87351,133295,480938
2014-05-01,6370882,3027394,48843,852196,104303,75158,84265,1146935,100471,145888,469335
2014-06-01,6003877,3036429,47234,888577,110417,83593,102194,1118517,119525,159172,407200
2014-07-01,7429591,3615706,62020,1011926,181322,80178,91724,1409297,143914,152171,483154
2014-08-01,8418370,3766293,75823,1133605,169222,65099,87923,1432189,181803,150618,470011
2014-09-01,6260914,3186470,48449,887771,95345,80914,82477,1220544,115362,182208,473400
2014-10-01,6341263,3119806,41002,767288,108330,84335,78553,1316015,103918,137989,482376
2014-11-01,5829463,2533736,32597,673091,115913,93823,68521,930975,72259,106865,439692
2014-12-01,6268560,2993563,50745,761635,142533,123999,80890,1013604,86268,145472,588417
2015-01-01,5528348,2493814,33756,828425,72992,72399,71322,694914,123215,117952,478839
2015-02-01,4893897,2287648,24403,750931,73855,60001,53959,794064,58554,80201,391680
2015-03-01,6176981,2841083,36758,795631,92921,69930,68465,1140059,97356,110974,428989
2015-04-01,6513761,3063704,41567,780093,106176,67944,78632,1316871,89696,141049,441676
2015-05-01,6865244,3481788,52882,1003345,116020,83287,84869,1373677,108731,173437,485540
2015-06-01,6213956,3324186,48678,960446,121504,89605,99111,1254363,116901,171725,461853
2015-07-01,7861626,4107731,69085,1119226,196169,97477,89480,1619579,182377,175317,559021
2015-08-01,8166951,3992804,76943,1202502,168060,73784,87355,1549953,179570,170119,484518
2015-09-01,6534393,3577291,50809,1025227,112973,93772,88566,1380691,141541,203140,480572
2015-10-01,6610185,3520628,46763,871312,122100,101123,86665,1550617,96204,157153,488691
2015-11-01,6061547,2842308,36143,764172,130073,113040,75520,1102990,83058,116362,420950
2015-12-01,6346637,3167165,54790,844323,166596,154286,83470,1044902,91331,150409,577058
2016-01-01,5614591,2680371,36178,958935,78858,88605,74392,745631,126442,128644,442686
2016-02-01,4935260,2420004,26598,815054,84629,69772,57333,841723,62394,83496,379005
2016-03-01,6143910,2923031,40345,834962,118553,86240,72207,1171825,89705,105020,404174
2016-04-01,6042233,2916710,41528,805584,108295,81188,81714,1146070,102946,137484,411901
2016-05-01,6500006,3235378,52898,995365,124354,93752,84289,1164656,108014,145691,466359
2016-06-01,6154158,3315489,49234,1029146,140628,108701,104096,1144771,120673,159506,458734
2016-07-01,7594735,3966911,72063,1149250,208177,110527,90532,1477939,181643,163111,513669
2016-08-01,7895284,3891504,75675,1229277,181649,81163,89447,1460435,176959,150681,446218
2016-09-01,6614195,3512358,51061,1079973,121462,101387,96567,1277920,128486,185454,470048
2016-10-01,6723729,3433693,44261,932514,122356,105987,91193,1405880,103062,147590,480850
2016-11-01,5844020,2704372,33261,803604,128354,109023,74432,963161,71462,110306,410769
